step,ep,score(50),best,loss,eps
2000,53,0.0,0,0.09680263518355786,0.9801999999999857
4000,105,0.0,0,0.01308787616493646,0.9603999999999715
6000,158,0.0,0,0.009843060417915694,0.9405999999999572
8000,210,0.0,0,0.002550337772408966,0.920799999999943
10000,262,0.0,0,0.0016196815398870968,0.9009999999999287
12000,314,0.0,0,0.001639586459059501,0.8811999999999145
14000,367,0.0,0,0.0019037202899926343,0.8613999999999002
16000,418,0.0,0,0.002752376880380325,0.841599999999886
18000,470,0.0,0,0.00438799740280956,0.8217999999998717
20000,520,0.0,0,0.0031250036758137868,0.8019999999998575
22000,572,0.0,0,0.00344746583054075,0.7821999999998432
24000,624,0.0,0,0.00407025598018663,0.762399999999829
26000,676,0.0,0,0.003125740370014682,0.7425999999998147
28000,727,0.0,0,0.005238287216634489,0.7227999999998005
30000,777,0.0,0,0.008525044673006051,0.7029999999997862
32000,828,0.0,0,0.00596038882737048,0.683199999999772
34000,880,0.0,0,0.012561951981042511,0.6633999999997577
36000,932,0.0,0,0.011132747625233606,0.6435999999997435
38000,984,0.0,0,0.006649505503592081,0.6237999999997292
40000,1036,0.0,0,0.007039694347186014,0.603999999999715
42000,1087,0.0,0,0.007728920731460675,0.5841999999997007
44000,1137,0.0,0,0.00919974663411267,0.5643999999996865
46000,1189,0.0,0,0.007931424682028591,0.5445999999996722
48000,1241,0.0,0,0.013658984132343904,0.524799999999658
50000,1291,0.0,0,0.01133374459692277,0.5049999999996437
52000,1343,0.0,0,0.021242765309289098,0.4851999999996295
54000,1394,0.0,0,0.012764314627274871,0.46539999999961523
56000,1444,0.0,0,0.013966968593886122,0.445599999999601
58000,1495,0.0,0,0.03181598425609991,0.42579999999958673
60000,1545,0.0,0,0.0203738617466297,0.4059999999995725
62000,1594,0.0,0,0.018413952398113907,0.38619999999955823
64000,1642,0.0,0,0.024078697748482227,0.366399999999544
66000,1689,0.0,0,0.01120603624964133,0.34659999999952973
68000,1733,0.0,0,0.01409376460360363,0.3267999999995155
70000,1777,0.0,0,0.013199119535274804,0.3069999999995012
72000,1818,0.0,0,0.009911557111190633,0.287199999999487
74000,1857,0.0,0,0.02725598116288893,0.2673999999994727
76000,1895,0.0,0,0.013750340315746144,0.24759999999945848
78000,1931,0.0,0,0.017219011647393926,0.22779999999944422
80000,1968,0.0,0,0.023454095347551628,0.20799999999942997
82000,1999,0.0,0,0.04075113384751603,0.18819999999941572
84000,2028,0.0,0,0.06906558951246553,0.16839999999940147
86000,2054,0.02,1,0.053936134171672166,0.14859999999938722
88000,2079,0.02,1,0.11823677601991221,0.12879999999937297
90000,2103,0.0,1,0.1308071262645535,0.10899999999938116
92000,2125,0.0,1,0.12701203200966119,0.08919999999939467
94000,2145,0.0,1,0.25708847186528144,0.06939999999940817
96000,2163,0.0,1,0.13764942096546293,0.04959999999941263
98000,2181,0.0,1,0.2714864332601428,0.029799999999412255
100000,2198,0.0,1,0.16259865859756245,0.01
102000,2215,0.0,1,0.1638254308886826,0.01
104000,2230,0.02,1,0.19656286372803153,0.01
106000,2245,0.06,1,0.30662476787809284,0.01
108000,2260,0.1,2,0.21570761574897915,0.01
110000,2275,0.12,2,0.108276311843656,0.01
112000,2289,0.14,2,0.2014807642577216,0.01
114000,2300,0.18,2,0.25665042859502135,0.01
116000,2313,0.24,2,0.13829223601147533,0.01
118000,2326,0.26,2,0.12309003489091992,0.01
120000,2340,0.32,2,0.21746368864085525,0.01
122000,2346,0.48,5,0.14440553088206798,0.01
124000,2358,0.5,5,0.13891410105861723,0.01
126000,2371,0.58,5,0.17369950087275357,0.01
128000,2387,0.48,5,0.22400817663408815,0.01
130000,2401,0.18,5,0.12403381169773638,0.01
132000,2411,0.28,5,0.16108042255975305,0.01
134000,2421,0.34,5,0.19097621204331516,0.01
136000,2432,0.4,5,0.15025479504838585,0.01
138000,2443,0.48,5,0.2543055811244994,0.01
140000,2455,0.54,5,0.270309942914173,0.01
142000,2467,0.38,5,0.20276166007854043,0.01
144000,2479,0.46,5,0.3618186924699694,0.01
146000,2490,0.46,5,0.3050631063710898,0.01
148000,2499,0.5,5,0.31187524789944293,0.01
