step,ep,score(50),best,loss,eps
2000,54,0.0,0,0.05022928837221116,0.9801999999999857
4000,107,0.0,0,0.026296858822461217,0.9603999999999715
6000,160,0.0,0,0.011019321664934977,0.9405999999999572
8000,214,0.0,0,0.0030178866238566113,0.920799999999943
10000,266,0.0,0,0.002203478674637154,0.9009999999999287
12000,318,0.0,0,0.0021951572294346988,0.8811999999999145
14000,371,0.0,0,0.002261590143752983,0.8613999999999002
16000,422,0.0,0,0.002011015146272257,0.841599999999886
18000,473,0.0,0,0.0019848112959880383,0.8217999999998717
20000,524,0.0,0,0.001885529636638239,0.8019999999998575
22000,576,0.0,0,0.0020757359893468674,0.7821999999998432
24000,627,0.0,0,0.0022666704504808875,0.762399999999829
26000,676,0.0,0,0.0024518200746388177,0.7425999999998147
28000,726,0.0,0,0.0028619734817766584,0.7227999999998005
30000,778,0.0,0,0.0035472109040711073,0.7029999999997862
32000,827,0.0,0,0.003440991975076031,0.683199999999772
34000,879,0.0,0,0.0036912671648315154,0.6633999999997577
36000,931,0.0,0,0.003945613276446238,0.6435999999997435
38000,983,0.0,0,0.005372279937146232,0.6237999999997292
40000,1034,0.0,0,0.009286206890828907,0.603999999999715
42000,1085,0.0,0,0.009077785140834748,0.5841999999997007
44000,1136,0.0,0,0.009351082325447352,0.5643999999996865
46000,1187,0.0,0,0.011944556722883136,0.5445999999996722
48000,1237,0.0,0,0.01601401751046069,0.524799999999658
50000,1287,0.0,0,0.015207339564803989,0.5049999999996437
52000,1336,0.0,0,0.018632636016700416,0.4851999999996295
54000,1387,0.0,0,0.025265937414951624,0.46539999999961523
56000,1436,0.0,0,0.028283433890901506,0.445599999999601
58000,1487,0.0,0,0.03710950665175915,0.42579999999958673
60000,1539,0.0,0,0.04216799981892109,0.4059999999995725
62000,1589,0.0,0,0.04269666702486575,0.38619999999955823
64000,1640,0.0,0,0.03717835122719407,0.366399999999544
66000,1690,0.0,0,0.03649981396039948,0.34659999999952973
68000,1740,0.0,0,0.04082776886643842,0.3267999999995155
70000,1791,0.0,0,0.030449546524323523,0.3069999999995012
72000,1840,0.0,0,0.031093600722961127,0.287199999999487
74000,1886,0.0,0,0.03456518881488591,0.2673999999994727
76000,1928,0.0,0,0.03159054414369166,0.24759999999945848
78000,1966,0.0,0,0.03146783575299196,0.22779999999944422
80000,2000,0.0,0,0.029866743604652583,0.20799999999942997
82000,2033,0.0,0,0.03968262479407713,0.18819999999941572
84000,2063,0.0,0,0.03608837181469426,0.16839999999940147
86000,2087,0.0,0,0.04563006589654833,0.14859999999938722
88000,2111,0.02,1,0.06251924863783642,0.12879999999937297
90000,2134,0.02,1,0.06348269372014329,0.10899999999938116
92000,2152,0.0,1,0.08263495039194822,0.08919999999939467
94000,2170,0.02,1,0.10113216883502901,0.06939999999940817
96000,2187,0.02,1,0.09417164241429418,0.04959999999941263
98000,2202,0.04,1,0.0884734319569543,0.029799999999412255
100000,2218,0.06,1,0.11862793080508709,0.01
102000,2232,0.06,1,0.10848379946313798,0.01
104000,2247,0.08,1,0.11499932927079498,0.01
106000,2261,0.08,1,0.11611774067394436,0.01
108000,2278,0.08,1,0.12448775636032224,0.01
110000,2293,0.08,1,0.119011340001598,0.01
112000,2305,0.12,1,0.14420664456672966,0.01
114000,2318,0.18,1,0.14162850877270103,0.01
116000,2334,0.2,1,0.18945881199557335,0.01
118000,2348,0.22,2,0.12781594230793417,0.01
120000,2363,0.18,2,0.15940432372968644,0.01
122000,2375,0.24,2,0.17648180938325822,0.01
124000,2390,0.26,2,0.16317847584374248,0.01
126000,2403,0.26,2,0.15412612394429742,0.01
128000,2417,0.24,2,0.14730893498286604,0.01
130000,2429,0.28,2,0.1584186727926135,0.01
132000,2446,0.28,2,0.2659543387591839,0.01
134000,2459,0.22,2,0.25145767664536833,0.01
136000,2469,0.34,2,0.28099059922620656,0.01
138000,2479,0.4,3,0.2577711546607315,0.01
140000,2486,0.58,3,0.2495161699876189,0.01
142000,2497,0.62,3,0.3358038774225861,0.01
144000,2503,0.86,5,0.31249840133823453,0.01
146000,2509,1.04,5,0.2651807199604809,0.01
148000,2520,1.02,5,0.33446628412231805,0.01
150000,2528,1.1,5,0.28203123530372975,0.01
152000,2536,1.06,5,0.3302549931406975,0.01
154000,2544,1.2,6,0.30104026761837305,0.01
156000,2554,1.06,6,0.3195432557165623,0.01
158000,2563,0.96,6,0.3018926865234971,0.01
160000,2569,1.1,6,0.3374562209658325,0.01
162000,2576,1.14,6,0.3480193434655666,0.01
164000,2581,1.26,6,0.39512354202568534,0.01
166000,2586,1.5,6,0.37188232712447644,0.01
168000,2589,1.48,6,0.3838555864989758,0.01
170000,2592,2.0,16,0.3476798812672496,0.01
172000,2597,1.98,16,0.3794190447218716,0.01
174000,2599,2.24,16,0.39280491929501293,0.01
176000,2605,2.6,16,0.3920325614325702,0.01
178000,2608,2.92,16,0.43607314020395277,0.01
180000,2614,2.94,16,0.4429211006872356,0.01
182000,2619,3.04,16,0.44243891146034003,0.01
