step,ep,score(50),best,loss,eps
2000,52,0.0,0,0.05186677727615461,0.9801999999999857
4000,106,0.0,0,0.021741998759680428,0.9603999999999715
6000,159,0.0,0,0.010357843683450482,0.9405999999999572
8000,211,0.0,0,0.002526300134777557,0.920799999999943
10000,264,0.0,0,0.001624617462803144,0.9009999999999287
12000,316,0.0,0,0.0017201655148528516,0.8811999999999145
14000,369,0.0,0,0.0017311396679724567,0.8613999999999002
16000,421,0.0,0,0.0019143834125134162,0.841599999999886
18000,474,0.0,0,0.0020001326574129053,0.8217999999998717
20000,526,0.0,0,0.00215891046798788,0.8019999999998575
22000,577,0.0,0,0.0022475264535751194,0.7821999999998432
24000,628,0.0,0,0.0024227233804413116,0.762399999999829
26000,680,0.0,0,0.0024174136799410915,0.7425999999998147
28000,730,0.0,0,0.00294873621838633,0.7227999999998005
30000,781,0.0,0,0.0032890987169230355,0.7029999999997862
32000,831,0.0,0,0.004251818861812353,0.683199999999772
34000,883,0.0,0,0.005609874785877764,0.6633999999997577
36000,935,0.0,0,0.004413377402815968,0.6435999999997435
38000,986,0.0,0,0.006655415596906095,0.6237999999997292
40000,1036,0.0,0,0.007903041100362315,0.603999999999715
42000,1087,0.0,0,0.007991892674472183,0.5841999999997007
44000,1138,0.0,0,0.008985851157922298,0.5643999999996865
46000,1188,0.0,0,0.011076937653124333,0.5445999999996722
48000,1237,0.0,0,0.014963740822859109,0.524799999999658
50000,1286,0.0,0,0.012902855342254042,0.5049999999996437
52000,1336,0.0,0,0.014719477905891835,0.4851999999996295
54000,1384,0.0,0,0.01655551851959899,0.46539999999961523
56000,1431,0.0,0,0.014469536326359958,0.445599999999601
58000,1477,0.0,0,0.02156694413162768,0.42579999999958673
60000,1524,0.0,0,0.01820249227574095,0.4059999999995725
62000,1571,0.0,0,0.02559243587311357,0.38619999999955823
64000,1617,0.0,0,0.027259239635895938,0.366399999999544
66000,1663,0.0,0,0.034431533238384875,0.34659999999952973
68000,1710,0.0,0,0.026535455230623485,0.3267999999995155
70000,1755,0.0,0,0.04447049137437716,0.3069999999995012
72000,1796,0.0,0,0.029490273026749492,0.287199999999487
74000,1836,0.0,0,0.07370170177891851,0.2673999999994727
76000,1874,0.0,0,0.034298372622579336,0.24759999999945848
78000,1912,0.0,0,0.061271970574744046,0.22779999999944422
80000,1946,0.0,0,0.03586688249837607,0.20799999999942997
82000,1980,0.0,0,0.07735374982468785,0.18819999999941572
84000,2013,0.0,0,0.06898589967750013,0.16839999999940147
86000,2045,0.0,0,0.18639612584840506,0.14859999999938722
88000,2075,0.0,0,0.08349260210525244,0.12879999999937297
90000,2104,0.0,0,0.18002293759025634,0.10899999999938116
92000,2134,0.0,0,0.27161652816459536,0.08919999999939467
94000,2159,0.0,0,0.20686772521585226,0.06939999999940817
96000,2183,0.0,0,0.20785542978905142,0.04959999999941263
98000,2203,0.0,0,0.20060899120289832,0.029799999999412255
100000,2221,0.0,0,0.2624674854427576,0.01
102000,2239,0.0,0,0.27249778917059303,0.01
104000,2251,0.08,2,0.2790616827690974,0.01
106000,2267,0.14,2,0.23144356714561581,0.01
108000,2283,0.16,2,0.390220381738618,0.01
110000,2298,0.18,2,0.2563889013789594,0.01
112000,2311,0.16,2,0.20021585720591248,0.01
114000,2326,0.14,2,0.2506110957451165,0.01
116000,2340,0.12,2,0.2826175525784492,0.01
118000,2354,0.12,2,0.25352215276099743,0.01
120000,2370,0.1,2,0.3471300118835643,0.01
122000,2383,0.1,2,0.27692170506343244,0.01
124000,2396,0.12,2,0.36601574952714144,0.01
126000,2404,0.28,4,0.45316901507787405,0.01
128000,2413,0.44,4,0.4374552431702614,0.01
130000,2421,0.66,4,0.37491666306741533,0.01
132000,2432,0.74,4,0.40171527694910764,0.01
134000,2439,0.9,5,0.4164818063750863,0.01
136000,2449,0.98,5,0.3957238139770925,0.01
138000,2455,1.02,5,0.46254849914461377,0.01
140000,2466,0.96,5,0.3165538152772933,0.01
142000,2473,0.98,5,0.4138318317010999,0.01
144000,2481,0.98,5,0.3557788572553545,0.01
146000,2490,1.02,5,0.41517779242247344,0.01
148000,2496,1.08,5,0.4711172186024487,0.01
150000,2501,1.16,6,0.5120820045471192,0.01
152000,2502,1.42,16,0.6142437557317316,0.01
154000,2511,1.56,16,0.6303983512148261,0.01
