step,ep,score(50),best,loss,eps
2000,53,0.0,0,0.024521988350898027,0.9801999999999857
4000,106,0.0,0,0.0185118221398443,0.9603999999999715
6000,159,0.0,0,0.003916398377623409,0.9405999999999572
8000,212,0.0,0,0.003248538926418405,0.920799999999943
10000,264,0.0,0,0.0033719483338063585,0.9009999999999287
12000,317,0.0,0,0.002468954417563509,0.8811999999999145
14000,369,0.0,0,0.003436927776783705,0.8613999999999002
16000,421,0.0,0,0.003021650712180417,0.841599999999886
18000,474,0.0,0,0.0034028770003351385,0.8217999999998717
20000,525,0.0,0,0.0038886843010550367,0.8019999999998575
22000,577,0.0,0,0.003759300690435339,0.7821999999998432
24000,629,0.0,0,0.004666077697183937,0.762399999999829
26000,681,0.0,0,0.005442976200720295,0.7425999999998147
28000,733,0.0,0,0.005776595333009027,0.7227999999998005
30000,785,0.0,0,0.006097994514275343,0.7029999999997862
32000,837,0.0,0,0.00790223921125289,0.683199999999772
34000,889,0.0,0,0.006282582965213806,0.6633999999997577
36000,941,0.0,0,0.007568442274350673,0.6435999999997435
38000,994,0.0,0,0.011080774481233674,0.6237999999997292
40000,1046,0.0,0,0.0082403007929679,0.603999999999715
42000,1098,0.0,0,0.011661382192396558,0.5841999999997007
44000,1149,0.0,0,0.01334044144838117,0.5643999999996865
46000,1201,0.0,0,0.015158149593044073,0.5445999999996722
48000,1253,0.0,0,0.016484631693456323,0.524799999999658
50000,1304,0.0,0,0.015498527926392853,0.5049999999996437
52000,1355,0.0,0,0.019852718361653386,0.4851999999996295
54000,1406,0.0,0,0.019111074184766038,0.46539999999961523
56000,1457,0.0,0,0.023883643827866764,0.445599999999601
58000,1508,0.0,0,0.027582170667592436,0.42579999999958673
60000,1557,0.0,0,0.031818288280628625,0.4059999999995725
62000,1608,0.0,0,0.02556639986112714,0.38619999999955823
64000,1658,0.0,0,0.035293937257956716,0.366399999999544
66000,1707,0.0,0,0.033525198504794386,0.34659999999952973
68000,1756,0.0,0,0.030323901725932956,0.3267999999995155
70000,1804,0.0,0,0.030317023175302892,0.3069999999995012
72000,1851,0.0,0,0.029603544792626054,0.287199999999487
74000,1890,0.0,0,0.024023400559090077,0.2673999999994727
76000,1923,0.0,0,0.041990045178681615,0.24759999999945848
78000,1959,0.0,0,0.03342959178611636,0.22779999999944422
80000,1995,0.0,0,0.03332977343350649,0.20799999999942997
82000,2028,0.0,0,0.02914025782374665,0.18819999999941572
84000,2058,0.0,0,0.02959479747572914,0.16839999999940147
86000,2086,0.0,0,0.05616341079585254,0.14859999999938722
88000,2110,0.0,0,0.04577927123755217,0.12879999999937297
90000,2129,0.04,1,0.06663454382680356,0.10899999999938116
92000,2146,0.08,1,0.08710154814179986,0.08919999999939467
94000,2165,0.08,1,0.10010279805865138,0.06939999999940817
96000,2179,0.1,1,0.11537537827622145,0.04959999999941263
98000,2193,0.1,1,0.10315861265640706,0.029799999999412255
100000,2205,0.18,1,0.09728462081868201,0.01
102000,2218,0.22,2,0.09224728042492643,0.01
104000,2229,0.3,2,0.1258715685363859,0.01
106000,2244,0.28,2,0.1327180409990251,0.01
108000,2256,0.28,2,0.1488794572558254,0.01
110000,2268,0.34,2,0.12918370042927563,0.01
112000,2281,0.28,2,0.11877659240737558,0.01
114000,2293,0.32,2,0.11819635135121644,0.01
116000,2305,0.38,2,0.13315533433109522,0.01
118000,2314,0.38,2,0.11915469810832292,0.01
120000,2322,0.52,3,0.11097718855366111,0.01
122000,2330,0.7,3,0.13572117027826608,0.01
124000,2340,0.76,3,0.1251388741657138,0.01
126000,2346,0.92,3,0.14721799233928323,0.01
128000,2354,1.06,4,0.16649173446930945,0.01
130000,2359,1.16,5,0.1547959699202329,0.01
132000,2365,1.38,5,0.14961524330079556,0.01
134000,2373,1.42,5,0.15053811385296284,0.01
136000,2377,1.62,7,0.17448295686393978,0.01
138000,2382,1.8,7,0.1829617276135832,0.01
140000,2389,2.0,7,0.20693117313086987,0.01
142000,2396,1.92,7,0.17587944639846684,0.01
144000,2397,2.08,11,0.18583248558454216,0.01
146000,2401,2.38,11,0.15943920513615012,0.01
148000,2406,2.48,11,0.1816191824246198,0.01
150000,2408,2.72,13,0.1970660042669624,0.01
152000,2415,2.68,13,0.22048971001058817,0.01
154000,2422,2.66,13,0.20449366562999785,0.01
156000,2428,2.46,13,0.22613272074609994,0.01
158000,2430,2.6,13,0.2527290268987417,0.01
160000,2435,2.72,13,0.2337249939609319,0.01
162000,2441,2.86,13,0.23541958613321184,0.01
164000,2447,2.68,13,0.25984072372317313,0.01
