step,ep,score(50),best,loss,eps
2000,53,0.0,0,0.038386668801540506,0.9801999999999857
4000,106,0.0,0,0.015010221105185337,0.9603999999999715
6000,159,0.0,0,0.00850755971390754,0.9405999999999572
8000,211,0.0,0,0.002310147086245706,0.920799999999943
10000,264,0.0,0,0.0020594520700979047,0.9009999999999287
12000,317,0.0,0,0.0022988493443699552,0.8811999999999145
14000,369,0.0,0,0.0030905021404032595,0.8613999999999002
16000,421,0.0,0,0.002296234770910814,0.841599999999886
18000,474,0.0,0,0.0028601845310186036,0.8217999999998717
20000,525,0.0,0,0.004445475420798175,0.8019999999998575
22000,576,0.0,0,0.003057533023238648,0.7821999999998432
24000,627,0.0,0,0.004974282626062631,0.762399999999829
26000,678,0.0,0,0.004478944226866588,0.7425999999998147
28000,729,0.0,0,0.004269013680750504,0.7227999999998005
30000,781,0.0,0,0.005293026005965658,0.7029999999997862
32000,832,0.0,0,0.004753294887486845,0.683199999999772
34000,884,0.0,0,0.0048420279723359275,0.6633999999997577
36000,936,0.0,0,0.0062100078252842646,0.6435999999997435
38000,988,0.0,0,0.01437455993203912,0.6237999999997292
40000,1040,0.0,0,0.008813553987420165,0.603999999999715
42000,1090,0.0,0,0.011794859756482765,0.5841999999997007
44000,1141,0.0,0,0.008334746292093768,0.5643999999996865
46000,1192,0.0,0,0.01475699104485102,0.5445999999996722
48000,1243,0.0,0,0.01665044415043667,0.524799999999658
50000,1293,0.0,0,0.04817632657010108,0.5049999999996437
52000,1343,0.0,0,0.023745298378635198,0.4851999999996295
54000,1393,0.0,0,0.021588042955845595,0.46539999999961523
56000,1443,0.0,0,0.014089966577012092,0.445599999999601
58000,1493,0.0,0,0.03230952241690829,0.42579999999958673
60000,1544,0.0,0,0.026325910305604338,0.4059999999995725
62000,1593,0.0,0,0.01989299076143652,0.38619999999955823
64000,1641,0.0,0,0.01809107284992933,0.366399999999544
66000,1691,0.0,0,0.01897788986330852,0.34659999999952973
68000,1739,0.0,0,0.027279712620656937,0.3267999999995155
70000,1786,0.0,0,0.021190466943662615,0.3069999999995012
72000,1835,0.0,0,0.02986531351925805,0.287199999999487
74000,1877,0.0,0,0.021492572561837734,0.2673999999994727
76000,1915,0.0,0,0.03399282146361657,0.24759999999945848
78000,1947,0.0,0,0.07557433817768469,0.22779999999944422
80000,1976,0.0,0,0.045498544744914396,0.20799999999942997
82000,2005,0.0,0,0.0797391233482631,0.18819999999941572
84000,2033,0.0,0,0.10276844768086449,0.16839999999940147
86000,2058,0.0,0,0.09216781069058926,0.14859999999938722
88000,2082,0.02,1,0.03912237547105178,0.12879999999937297
90000,2097,0.1,2,0.03901329711312428,0.10899999999938116
92000,2116,0.12,2,0.09641666275216267,0.08919999999939467
94000,2134,0.14,2,0.1289133588853292,0.06939999999940817
96000,2146,0.2,2,0.17346930210944264,0.04959999999941263
98000,2159,0.26,3,0.23706923260819168,0.029799999999412255
100000,2172,0.3,3,0.2328046847670339,0.01
102000,2182,0.4,3,0.1415623589232564,0.01
104000,2193,0.4,3,0.29898103411775084,0.01
106000,2203,0.42,3,0.45150599016807974,0.01
108000,2213,0.52,3,0.3309708014829084,0.01
110000,2224,0.5,3,0.3024069959484041,0.01
112000,2236,0.56,3,0.25187180791050195,0.01
114000,2249,0.48,3,0.3495879581477493,0.01
116000,2259,0.48,3,0.18003006597049534,0.01
118000,2270,0.54,3,0.3428785498067737,0.01
120000,2281,0.5,3,0.23097690369933843,0.01
122000,2288,0.64,3,0.21404337463900447,0.01
124000,2290,0.82,7,0.29158314582426104,0.01
126000,2299,1.1,7,0.3208813596423715,0.01
128000,2307,1.2,7,0.2514551665913314,0.01
130000,2316,1.18,7,0.29506730461493136,0.01
132000,2323,1.28,7,0.6553984247986228,0.01
134000,2328,1.48,7,0.4942051413375884,0.01
136000,2331,1.8,9,0.6476969610992819,0.01
138000,2335,1.92,9,0.3434194303583354,0.01
140000,2340,1.94,9,0.7573174448916689,0.01
142000,2346,1.96,9,0.7213656562753021,0.01
144000,2352,2.06,9,0.5219544749055057,0.01
146000,2358,2.08,9,0.6142138213571161,0.01
148000,2363,2.34,9,0.49285923284478483,0.01
150000,2375,2.06,9,0.801412112340331,0.01
152000,2382,1.76,9,0.9308115885406733,0.01
154000,2388,1.5,9,0.6972426797216759,0.01
156000,2397,1.32,9,0.7497926248889416,0.01
158000,2405,1.3,9,0.8184270471427589,0.01
160000,2414,1.08,9,0.5942405592370779,0.01
162000,2419,1.14,9,0.8307289084047079,0.01
164000,2426,1.38,9,0.818227164261043,0.01
166000,2435,1.3,9,0.9667319372296334,0.01
168000,2439,1.24,9,0.7112155393045395,0.01
170000,2445,1.54,9,0.7496552571374923,0.01
172000,2449,1.76,9,0.546244649477303,0.01
174000,2451,1.92,13,0.6702112617064268,0.01
176000,2455,2.14,15,1.0279041311889887,0.01
178000,2459,2.38,15,0.8315247818641365,0.01
180000,2462,2.58,15,0.6243900874629617,0.01
182000,2462,2.58,15,0.6612264968082309,0.01
184000,2467,3.12,22,0.35863100106827916,0.01
186000,2470,3.04,22,0.9010844941623509,0.01
188000,2475,3.38,22,1.0989309682510793,0.01
190000,2479,3.46,22,0.7250658045243472,0.01
192000,2483,3.74,22,0.7522337489202618,0.01
194000,2486,4.0,22,0.7937995440140366,0.01
196000,2488,4.12,22,0.785810860004276,0.01
