model,agent_type,use_per,checkpoint,environment,description,avg_score,std_score,avg_survival_steps,std_survival_steps,avg_survival_seconds,std_survival_seconds,generalization_gap,gap_interpretation
Vanilla DQN,dqn,False,flappy_dynamic_dqn.pth,dynamic_train_dist,"Oscillating speed and gap, same as training distribution",321.18,166.6939870124968,34371.92,17756.498780228183,572.8653333333333,295.9416463371364,0.0,baseline
Vanilla DQN,dqn,False,flappy_dynamic_dqn.pth,fixed_slow_wide,"Fixed: speed=0.75x, gap=260 px, easiest",351.0,0.0,50000.0,0.0,833.3333333333335,1.148410484065847e-13,-29.819999999999993,better than dynamic baseline
Vanilla DQN,dqn,False,flappy_dynamic_dqn.pth,fixed_slow_narrow,"Fixed: speed=0.75x, gap=140 px",0.38,0.6966391622992348,241.16,99.31897901124806,4.019333333333333,1.6553163168541347,320.8,worse than dynamic baseline
Vanilla DQN,dqn,False,flappy_dynamic_dqn.pth,fixed_mid_mid,"Fixed: speed=1.00x, gap=200 px",322.54,200.2587316244581,34508.38,21329.301274365578,575.1396666666667,355.4883545727597,-1.3600000000000136,better than dynamic baseline
Vanilla DQN,dqn,False,flappy_dynamic_dqn.pth,fixed_fast_wide,"Fixed: speed=1.25x, gap=260 px",585.0,0.0,50000.0,0.0,833.3333333333335,1.148410484065847e-13,-263.82,better than dynamic baseline
Vanilla DQN,dqn,False,flappy_dynamic_dqn.pth,fixed_fast_narrow,"Fixed: speed=1.25x, gap=130 px, hardest",1.52,2.0527731367641207,235.56,174.07706011173002,3.926,2.9012843351954998,319.66,worse than dynamic baseline
Vanilla DQN,dqn,False,flappy_dynamic_dqn.pth,fixed_classic,"Fixed: speed=1.00x, gap=140 px, closer to classic Flappy Bird",128.62,204.01739521673247,13839.14,21740.508821007996,230.65233333333336,362.34181368346657,192.56,worse than dynamic baseline
Vanilla DQN + PER,dqn,True,flappy_dynamic_dqn_per.pth,dynamic_train_dist,"Oscillating speed and gap, same as training distribution",24.92,22.398833788883756,2787.02,2385.5946290779816,46.450333333333326,39.75991048463303,0.0,baseline
Vanilla DQN + PER,dqn,True,flappy_dynamic_dqn_per.pth,fixed_slow_wide,"Fixed: speed=0.75x, gap=260 px, easiest",3.08,4.256279874179674,613.08,609.5288525089,10.218,10.158814208481667,21.840000000000003,worse than dynamic baseline
Vanilla DQN + PER,dqn,True,flappy_dynamic_dqn_per.pth,fixed_slow_narrow,"Fixed: speed=0.75x, gap=140 px",0.04,0.19794866372215741,146.68,56.34784098502329,2.444666666666667,0.9391306830837213,24.880000000000003,worse than dynamic baseline
Vanilla DQN + PER,dqn,True,flappy_dynamic_dqn_per.pth,fixed_mid_mid,"Fixed: speed=1.00x, gap=200 px",137.04,210.18106479890145,14729.6,22399.773459131415,245.49333333333337,373.3295576521902,-112.11999999999999,better than dynamic baseline
Vanilla DQN + PER,dqn,True,flappy_dynamic_dqn_per.pth,fixed_fast_wide,"Fixed: speed=1.25x, gap=260 px",18.2,24.237767796459767,1645.86,2068.7490157590605,27.430999999999997,34.47915026265101,6.720000000000002,worse than dynamic baseline
Vanilla DQN + PER,dqn,True,flappy_dynamic_dqn_per.pth,fixed_fast_narrow,"Fixed: speed=1.25x, gap=130 px, hardest",0.04,0.19794866372215741,93.06,27.775639010632677,1.5510000000000002,0.4629273168438779,24.880000000000003,worse than dynamic baseline
Vanilla DQN + PER,dqn,True,flappy_dynamic_dqn_per.pth,fixed_classic,"Fixed: speed=1.00x, gap=140 px, closer to classic Flappy Bird",1.9,3.5413015017830114,322.22,383.0538561804252,5.370333333333333,6.38423093634042,23.020000000000003,worse than dynamic baseline
Double DQN,ddqn,False,flappy_dynamic_ddqn.pth,dynamic_train_dist,"Oscillating speed and gap, same as training distribution",69.1,55.47908228718795,7472.46,5909.7135612412185,124.541,98.49522602068697,0.0,baseline
Double DQN,ddqn,False,flappy_dynamic_ddqn.pth,fixed_slow_wide,"Fixed: speed=0.75x, gap=260 px, easiest",4.76,4.901311777764922,778.24,700.8034619241674,12.970666666666666,11.680057698736125,64.33999999999999,worse than dynamic baseline
Double DQN,ddqn,False,flappy_dynamic_ddqn.pth,fixed_slow_narrow,"Fixed: speed=0.75x, gap=140 px",1.52,1.8432446990044928,391.96,263.30660021026006,6.5326666666666675,4.388443336837667,67.58,worse than dynamic baseline
Double DQN,ddqn,False,flappy_dynamic_ddqn.pth,fixed_mid_mid,"Fixed: speed=1.00x, gap=200 px",281.58,219.13187623819925,30123.36,23366.170235183854,502.056,389.43617058639757,-212.48,better than dynamic baseline
Double DQN,ddqn,False,flappy_dynamic_ddqn.pth,fixed_fast_wide,"Fixed: speed=1.25x, gap=260 px",11.26,11.164466226490587,1023.6,952.2721914088494,17.060000000000002,15.871203190147488,57.839999999999996,worse than dynamic baseline
Double DQN,ddqn,False,flappy_dynamic_ddqn.pth,fixed_fast_narrow,"Fixed: speed=1.25x, gap=130 px, hardest",1.64,1.7351115943644546,242.84,147.68296987749378,4.0473333333333334,2.4613828312915627,67.46,worse than dynamic baseline
Double DQN,ddqn,False,flappy_dynamic_ddqn.pth,fixed_classic,"Fixed: speed=1.00x, gap=140 px, closer to classic Flappy Bird",39.5,76.09989407056374,4340.1,8116.60555935315,72.335,135.2767593225525,29.599999999999994,worse than dynamic baseline
Double DQN + PER,ddqn,True,flappy_dynamic_ddqn_per.pth,dynamic_train_dist,"Oscillating speed and gap, same as training distribution",13.42,11.698752767989014,1558.46,1249.5685493768785,25.97433333333333,20.826142489614643,0.0,baseline
Double DQN + PER,ddqn,True,flappy_dynamic_ddqn_per.pth,fixed_slow_wide,"Fixed: speed=0.75x, gap=260 px, easiest",26.44,23.8645497484004,3850.3,3393.961493954959,64.17166666666668,56.56602489924932,-13.020000000000001,better than dynamic baseline
Double DQN + PER,ddqn,True,flappy_dynamic_ddqn_per.pth,fixed_slow_narrow,"Fixed: speed=0.75x, gap=140 px",2.12,2.41289055208199,478.32,345.2391918537592,7.972,5.753986530895986,11.3,worse than dynamic baseline
